CódigodoMunicípio,Município,Estado,AnodeReferência,Tipodeserviço,Naturezajurídica,POP_TOTAL,POP_TOTAL_ESGOTO,POP_TOTAL_AGUA,REGIAO,DIF_AG_2011_2020,DIF_ES_2011_2020,INV_TOTAL,INV_TOTAL_AG,INV_TOTAL_ES,INV_TOTAL_PCP,INV_TOTAL_AG_PCP,INV_TOTAL_ES_PCP,latitude,longitude,COD_IBGE,IDHM,IDHM_RENDA,IDHM_EDUCACAO,IDHM_LONGEVIDADE
316020,Santo Antônio do Itambé,MG,2020,Água         ,Sociedade de economia mista com administração pública,3799.0,,1129.0,SE,0.002621167456444473,,2786116.045538863,1117810.1282815898,1628319.2994015059,10.711653066596472,4.41739668333772,5.181503027112398,-184.609,-433.006,316020,0.558,0.794,0.408,0.537
316030,Santo Antônio do Jacinto,MG,2020,Água         ,Sociedade de economia mista com administração pública,11604.0,,6052.0,SE,,,1266523.2485545469,997078.0517893138,0.0,7.088223026542572,5.486611513271286,0.0,-165.332,-401.817,316030,0.574,0.772,0.427,0.575
316030,Santo Antônio do Jacinto,MG,2020,Esgotos      ,Administração pública direta,11604.0,11200.0,,SE,,,1266523.2485545469,997078.0517893138,0.0,,,,-165.332,-401.817,316030,0.574,0.772,0.427,0.575
316040,Santo Antônio do Monte,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,28427.0,22910.0,23845.0,SE,-0.015587112557432392,-0.048478377903758085,21708765.871977862,5068817.659168862,15698966.44551466,14.185322052977803,8.035509550779189,3.6902761459176134,-20.085,-452.947,316040,0.724,0.84,0.615,0.736
316045,Santo Antônio do Retiro,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,7297.0,1421.0,1678.0,SE,0.0014147456170661432,-0.033805207788442954,397552.28914294404,153629.56243255836,173657.64560382956,8.25539262710703,5.5908921474578595,1.8532766890502947,-153.393,-426.171,316045,0.57,0.784,0.469,0.504
316060,Santo Hipólito,MG,2020,Água         ,Sociedade de economia mista com administração pública,3065.0,,1952.0,SE,-0.05775779717389662,,315722.6205513879,143810.05539146136,0.0,8.614959216965742,6.210835236541598,0.0,-182.968,-442.229,316060,0.657,0.824,0.536,0.641
316070,Santos Dumont,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,46421.0,24945.0,35476.0,SE,-0.12852439217490064,-0.1538303593196415,55147148.90635568,1986409.5568826918,51893359.321453005,17.144101591951916,9.440526916697184,5.049825294586502,-214.634,-435.499,316070,0.741,0.847,0.697,0.688
316080,São Bento Abade,MG,2020,Água         ,Sociedade de economia mista com administração pública,5349.0,,4582.0,SE,,,300611.00919664325,190204.97225791583,0.0,9.513279117592074,7.068794167134044,0.0,-215.839,-450.699,316080,0.672,0.801,0.581,0.651
316080,São Bento Abade,MG,2020,Esgotos      ,Administração pública direta,5349.0,5285.0,,SE,,,300611.00919664325,190204.97225791583,0.0,,,,-215.839,-450.699,316080,0.672,0.801,0.581,0.651
316090,São Brás do Suaçuí,MG,2020,Água         ,Sociedade de economia mista com administração pública,3754.0,,3292.0,SE,-0.013751252888073884,,312123.17940141057,195582.03963177672,0.0,12.006648907831647,8.792083111347896,0.0,-206.242,-439.515,316090,0.664,0.801,0.541,0.675
316095,São Domingos das Dores,MG,2020,Água         ,Sociedade de economia mista com administração pública,5658.0,,2344.0,SE,0.03898112537526899,,165341.77270304164,99033.80920683744,0.0,5.077826086956522,4.04685577942736,0.0,-195.246,-420.106,316095,0.638,0.8,0.539,0.602
316100,São Domingos do Prata,MG,2020,Água         ,Sociedade de economia mista com administração pública,17327.0,,9473.0,SE,0.03304801978203198,,794449.409903352,455246.63597571966,0.0,6.763678074681134,5.145972182143475,0.0,-198.678,-42.971,316100,0.69,0.823,0.593,0.674
316100,São Domingos do Prata,MG,2020,Esgotos      ,Administração pública direta,17327.0,10527.0,,SE,,,794449.409903352,455246.63597571966,0.0,,,,-198.678,-42.971,316100,0.69,0.823,0.593,0.674
316105,São Félix de Minas,MG,2020,Água e Esgoto,Empresa pública,3362.0,1547.0,1913.0,SE,,-0.10248678069813699,0.0,0.0,0.0,,,,-185.959,-414.889,316105,0.62,0.795,0.51,0.589
316110,São Francisco,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,56477.0,17015.0,32357.0,SE,-0.06251265618747959,-0.18049779693387408,4326251.544815291,1999625.772548249,1282424.886306254,13.722587424969456,8.426864741399154,3.7553258848734883,-159.514,-448.593,316110,0.638,0.804,0.542,0.595
316120,São Francisco de Paula,MG,2020,Esgotos      ,Administração pública direta,6520.0,4683.0,,SE,,,603428.8910524904,454694.18051048776,13824.39,,,,-207.036,-449.838,316120,0.66,0.812,0.537,0.66
316120,São Francisco de Paula,MG,2020,Água         ,Sociedade de economia mista com administração pública,6520.0,,4704.0,SE,,,603428.8910524904,454694.18051048776,13824.39,15.099903374233127,10.321920245398772,2.1203052147239263,-207.036,-449.838,316120,0.66,0.812,0.537,0.66
316130,São Francisco de Sales,MG,2020,Água         ,Sociedade de economia mista com administração pública,6274.0,,4229.0,SE,-0.07590536604271925,,389316.02130513603,231580.29525342933,0.0,9.254016576346828,6.677647433854,0.0,-198.611,-497.727,316130,0.688,0.867,0.528,0.711
316130,São Francisco de Sales,MG,2020,Esgotos      ,Administração pública direta,6274.0,6274.0,,SE,,,389316.02130513603,231580.29525342933,0.0,,,,-198.611,-497.727,316130,0.688,0.867,0.528,0.711
316140,São Francisco do Glória,MG,2020,Água e Esgoto,Administração pública direta,4800.0,1758.0,2903.0,SE,,-0.63375,0.0,0.0,0.0,,,,-207.923,-422.673,316140,0.663,0.833,0.541,0.647
316150,São Geraldo,MG,2020,Água         ,Sociedade de economia mista com administração pública,12562.0,,7234.0,SE,-0.10335991917796872,,910096.3740933597,391596.9787199633,317961.05,35.618363317943,8.324168922146155,25.31133975481611,-209.252,-428.364,316150,0.651,0.831,0.507,0.656
316160,São Geraldo da Piedade,MG,2020,Água e Esgoto,Administração pública direta,3910.0,1200.0,939.0,SE,-0.662864285163,-0.4841565964446534,0.0,0.0,0.0,,,,-188.411,-422.867,316160,0.6,0.774,0.447,0.625
316165,São Geraldo do Baixio,MG,2020,Água e Esgoto,Administração pública direta,4059.0,2670.0,2841.0,SE,0.45977263748457065,0.35089211622179,0.0,0.0,0.0,,,,-189.097,-41.363,316165,0.63,0.824,0.482,0.631
316170,São Gonçalo do Abaeté,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,8459.0,3514.0,3726.0,SE,,-0.25715083793038157,10711598.576612035,229927.31951942475,10299178.489093317,46.83037474878827,4.242983804232179,41.03200378295306,-183.315,-458.265,316170,0.67,0.796,0.568,0.665
316180,São Gonçalo do Pará,MG,2020,Água         ,Sociedade de economia mista com administração pública,12597.0,,8269.0,SE,-0.10909110817299139,,946835.1795182866,679675.750423271,0.0,7.719693577835993,5.597809795983171,0.0,-199.822,-448.593,316180,0.689,0.842,0.57,0.682
316180,São Gonçalo do Pará,MG,2020,Esgotos      ,Administração pública direta,12597.0,11737.0,,SE,,,946835.1795182866,679675.750423271,0.0,,,,-199.822,-448.593,316180,0.689,0.842,0.57,0.682
316190,São Gonçalo do Rio Abaixo,MG,2020,Água e Esgoto,Administração pública direta,11019.0,10920.0,10920.0,SE,-0.008984481350394757,,0.0,0.0,0.0,,,,-198.221,-43.366,316190,0.667,0.792,0.569,0.658
316200,São Gonçalo do Sapucaí,MG,2020,Água         ,Sociedade de economia mista com administração pública,25561.0,,18868.0,SE,-0.08767966463016463,,1571044.3189400425,931281.5044943303,6912.2,10.390336450060639,7.627013027659324,0.2704197801337976,-218.932,-455.893,316200,0.715,0.85,0.609,0.706
316200,São Gonçalo do Sapucaí,MG,2020,Esgotos      ,Administração pública direta,25561.0,19125.0,,SE,,,1571044.3189400425,931281.5044943303,6912.2,,,,-218.932,-455.893,316200,0.715,0.85,0.609,0.706
316210,São Gotardo,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,35782.0,30942.0,32487.0,SE,-0.036828880137481645,-0.03676007123821379,25911089.504102558,2747633.182479288,21860611.47590348,43.896216533452574,9.951761779665754,30.774639763009333,-193.087,-460.465,316210,0.736,0.855,0.632,0.739
