CódigodoMunicípio,Município,Estado,AnodeReferência,Naturezajurídica,POP_TOTAL,REGIAO,PERCENT_AG,PERCENT_ES,INVESTIMENTO_TOTAL_ATUAL2020_y,INVESTIMENTO_TOTAL_AG_ATUAL2020_y,INVESTIMENTO_TOTAL_ES_ATUAL2020_y,INVESTIMENTO_TOTAL_ATUAL2020_PCP,INVESTIMENTO_TOTAL_AG_ATUAL2020_PCP,INVESTIMENTO_TOTAL_ES_ATUAL2020_PCP
432147,Tiradentes do Sul,RS,2020,Sociedade de economia mista com administração pública,5616.0,S,0.3011039886039886,,142885.96387390673,120293.28884227786,0.0,0.8051264245014246,0.0,0.0
432149,Toropi,RS,2020,Administração pública direta,2772.0,S,0.8477633477633477,,0.0,0.0,0.0,,,
432150,Torres,RS,2020,Sociedade de economia mista com administração pública,39064.0,S,0.9704587343845996,0.6440200696293262,44608180.57156773,20300247.942658816,19144377.274441384,95.13297716567683,4.548263362686872,80.79479213598198
432160,Tramandaí,RS,2020,Sociedade de economia mista com administração pública,52632.0,S,0.9757561939504484,0.2722108223134215,84241811.79501195,9272711.000218835,61862859.75149992,163.11050026599787,13.3703374373005,138.90496143030856
432163,Três Arroios,RS,2020,Administração pública direta,2643.0,S,1.0,,0.0,0.0,0.0,,,
432166,Três Cachoeiras,RS,2020,Sociedade de economia mista com administração pública,11115.0,S,0.2515519568151147,,389975.0662358254,264358.2197391783,84313.41210512232,6.551178587494378,5.738208726945569,0.0
432170,Três Coroas,RS,2020,Sociedade de economia mista com administração pública,28581.0,S,0.6321332353661523,,35651224.02916636,31732760.233796783,297661.8522247585,4.328845736678213,1.5796980511528638,0.0
432180,Três de Maio,RS,2020,Sociedade de economia mista com administração pública,23876.0,S,0.7999664935500084,,4219340.943210414,3098666.1321928245,0.0,14.9982991288323,12.001288741832804,0.0
432183,Três Forquilhas,RS,2020,Administração pública direta,2669.0,S,0.8804795803671788,0.2697639565380292,0.0,0.0,0.0,,,
432190,Três Passos,RS,2020,Sociedade de economia mista com administração pública,23852.0,S,0.7950695958410197,0.010397450947509643,5757648.437421676,4752227.724890445,0.0,33.77659231930237,30.125269579070938,0.0
432195,Trindade do Sul,RS,2020,Sociedade de economia mista com administração pública,5791.0,S,0.5009497496114661,,2342890.0004351446,394283.86522785015,1539439.329603658,17.69214816093939,2.3208634087376967,12.730262476256259
432200,Triunfo,RS,2020,Sociedade de economia mista com administração pública,29856.0,S,0.5325227759914255,0.0,11186370.929497264,5690036.07145272,451708.2601849033,30.890403269024652,9.15085610932476,0.0
432210,Tucunduva,RS,2020,Sociedade de economia mista com administração pública,5644.0,S,0.6856839121190645,,2689844.6817224175,2311451.8911123015,0.0,29.174199149539334,25.861621190644932,0.0
432215,Tunas,RS,2020,Administração pública direta,4577.0,S,1.0,0.31286869128249944,0.0,0.0,0.0,,,
